id_ocorrencia,id_frente,data_referencia,contrato,programa,nucleo,equipe,tipo_ocorrencia,descricao,impacto_producao,arquivo_origem,data,logradouro,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,municipio_conflitante_sem_cadastro
O0001,F001,04/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,ocorrencia_operacional,"Execução com interferências no trajeto (rede de esgoto, rede de água e presença de pedras/rochas), exigindo maior cautela na escavação.",parcial,entrada_interface.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,vistoria,"Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",parcial,entrada_interface.txt,,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,vistoria,"Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",parcial,entrada_interface.txt,,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,
O0003,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,restricao_operacional,Produtividade impactada pela espera da mangueira do compressor.,parcial,entrada_interface.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,clima,Atividades paralisadas no período da manhã devido à chuva. Serviço executado após fechamento da rede.,sim,consolidado_2026_03_09.txt,,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,09/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,sem_producao,Sem produção,sim,consolidado_2026_03_09.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F002,09/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,clima,"Atividades interrompidas devido à tempestade, impossibilitando abertura de valas e execução dos serviços.",sim,consolidado_2026_03_09.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0004,F003,09/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"Devido à chuva contínua durante todo o dia, não foi possível executar a escavação da vala.",sim,consolidado_2026_03_09.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,vistoria,"Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",parcial,consolidado_2026_03_03.txt,,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,vistoria,"Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",parcial,consolidado_2026_03_03.txt,,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,
