id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem
I0001,F001,04/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,25,m,PEAD,Ø63,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø63): 25 m
I0002,F002,04/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Ramais água,Execução de ramais de água,ramal_agua,servico,5,un,,,,,entrada_interface.txt,Ramais água: 5
I0003,F002,04/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø63): 21 m
I0004,F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,Ramais água,Execução de ramais de água,ramal_agua,servico,11,un,,,,,entrada_interface.txt,Ramais água: 11
I0005,F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,Interligação,Execução de interligação de rede,interligacao,servico,1,un,,Ø63,1 (Ø63 x Ø32),,entrada_interface.txt,Interligação: 1 (Ø63 x Ø32)
I0006,F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,7,m,PEAD,Ø32,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø32): 7 m
I0007,F004,04/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. das Cerejas,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,7,un,,,,,entrada_interface.txt,Intradomiciliares: 7
I0008,F004,04/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. das Cerejas,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,7,un,,,,,entrada_interface.txt,Hidrômetros instalados: 7
I0009,F005,04/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. das Cerejas / Tv. Haitiana,Ramais água,Execução de ramais de água,ramal_agua,servico,9,un,,,,,entrada_interface.txt,Ramais água: 9
I0010,F006,04/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa da Bete / Rua Dezesseis,Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,2,un,,mureta,,com mureta,entrada_interface.txt,Caixas UMA instaladas (mureta): 2
I0011,F007,04/03/2026,Oeste 1,Água Legal,Vila Dirce,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,11,un,,,,,entrada_interface.txt,Recomposição de valas: 11
