id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,nucleo_oficial,frente_operacional
I0001,F001,27/02/2026,Oeste 1,Água Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,14,un,,,,,entrada_interface.txt,Intradomiciliares: 14,Patrocínio,
I0002,F001,27/02/2026,Oeste 1,Água Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,14,un,,,,,entrada_interface.txt,Hidrômetros instalados: 14,Patrocínio,
I0003,F002,27/02/2026,Oeste 1,Água Legal,Patrocínio,Sidney,Rua Rio Tocantins,Ramais água,Execução de ramais de água,ramal_agua,servico,3,un,,,,,entrada_interface.txt,Ramais água: 3,Patrocínio,
I0004,F003,27/02/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Mississipi,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,52,m,PEAD,Ø63,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø63): 52 m,Mississipi,
I0005,F004,27/02/2026,Oeste 1,Água Legal,Viela 1 / Viela 7,Xavier,Viela 1 / Viela 7,Prolongamento rede,Prolongamento de rede,rede_agua,servico,19,m,,Ø63,,,entrada_interface.txt,Prolongamento rede (Ø63): 19 m,(não identificado),Trecho sem núcleo definido
I0006,F005,27/02/2026,Oeste 1,Água Legal,Mississipi — Esgoto,Weslyn,Viela Mississipi,Ramais esgoto,Execução de ramais de esgoto,ramal_esgoto,servico,3,un,,,,,entrada_interface.txt,Ramais esgoto: 3,Mississipi,Esgoto
I0007,F005,27/02/2026,Oeste 1,Água Legal,Mississipi — Esgoto,Weslyn,Viela Mississipi,🧱 Serviço complementar,🧱 Serviço complementar,servico_nao_mapeado,servico,0.8,un,,,"Instalação de Caixa de Inspeção (0,80 x 0,80)",,entrada_interface.txt,"🧱 Serviço complementar: Instalação de Caixa de Inspeção (0,80 x 0,80)",Mississipi,Esgoto
I0008,F006,27/02/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,8,un,,,,,entrada_interface.txt,Intradomiciliares: 8,Cerejas,
I0009,F006,27/02/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,5,un,,,,,entrada_interface.txt,Hidrômetros instalados: 5,Cerejas,
I0010,F007,27/02/2026,Oeste 1,Água Legal,Mississipi — Caixa UMA,Resp. Paulo Vilela,,Caixas UMA,Instalação de caixas UMA,caixa_uma,servico,16,un,,,,,entrada_interface.txt,Caixas UMA: 16,Mississipi,Caixa UMA
I0011,F007,27/02/2026,Oeste 1,Água Legal,Mississipi — Caixa UMA,Resp. Paulo Vilela,,▪️ Embutida,▪️ Embutida,servico_nao_mapeado,servico,7,un,,,,,entrada_interface.txt,▪️ Embutida: 7,Mississipi,Caixa UMA
I0012,F007,27/02/2026,Oeste 1,Água Legal,Mississipi — Caixa UMA,Resp. Paulo Vilela,,▪️ Mureta,Reboco de mureta,acabamento,servico,9,un,,,,,entrada_interface.txt,▪️ Mureta: 9,Mississipi,Caixa UMA
